barcode,name,price,promo
4861,PAO AUSTRALIANO kg,36.9,
4862,LAGARTO EX.LIMPO kg,59.99,
4870,BOLO DE LEITE kg,37.9,
4872,BOLO SATIM CENOURA C CHOC.kg,43.9,
4900,PP CUPIM ASSADO kg,85.9,
4917,BISCOITO COSME DAM.AMANT.C COB.CHOC.kg,45.9,
4933,BOLO TORTA CROCANTE BCO.kg,63.9,
4934,BOLO TORTA CROCANTE NEGRO kg,63.9,
4936,PAVE CHOCOLATE kg,49.8,
4938,PAVE BOMBOM kg,48.9,
4941,PEIXE MECA INT.FRES.kg,54.99,
4942,BISNAGUINHA MARACUJA kg,24.9,
4943,BOLO TORTA ABACAXI FAT.140g,10.35,
4944,BOMBA DOCE DE LEITE 80g,7.49,
4945,BOMBOM C NOZES 80g,7.15,
4946,BOMBOM BRIG.80g,7.15,
4947,CHEESECAKE FAT.130g,10.9,
